depth,opt,mode,mapped_pattern,deref_ops,guard_count,deopt_count,ir_proxy_size,instructions_proxy,branches_proxy,branch_misses_proxy
2,O2,naive,plain,2,2,2,2,190133214,40025130,3304
3,O2,naive,plain,3,3,3,3,240133419,50025164,3304
5,O2,naive,plain,5,5,5,5,290133829,60025232,3305
8,O2,naive,plain,8,8,8,8,340134444,70025334,3313
2,O2,atomic,checks,2,4,16,12,220133214,70025130,3302
3,O2,atomic,checks,3,6,24,18,270133419,90025164,3306
5,O2,atomic,checks,5,10,40,30,280133829,80025232,3306
8,O2,atomic,checks,8,16,64,48,400134444,130025334,3308
2,O3,naive,plain,2,2,2,2,190133213,40025130,3304
3,O3,naive,plain,3,3,3,3,240133418,50025164,3304
5,O3,naive,plain,5,5,5,5,290133828,60025232,3305
8,O3,naive,plain,8,8,8,8,340134443,70025334,3313
2,O3,atomic,checks,2,4,16,12,220133213,70025130,3301
3,O3,atomic,checks,3,6,24,18,270133418,90025164,3305
5,O3,atomic,checks,5,10,40,30,280133828,80025232,3305
8,O3,atomic,checks,8,16,64,48,400134443,130025334,3307
