opt,mode,depth,Ir,Bc,Bcm,Bi,Bim
O2,naive,2,190133214,40025130,3304,312,157
O2,naive,3,240133419,50025164,3304,313,157
O2,naive,5,290133829,60025232,3305,315,157
O2,naive,8,340134444,70025334,3313,318,157
O2,atomic,2,220133214,70025130,3302,312,157
O2,atomic,3,270133419,90025164,3306,313,157
O2,atomic,5,280133829,80025232,3306,315,157
O2,atomic,8,400134444,130025334,3308,318,157
O3,naive,2,190133213,40025130,3304,312,157
O3,naive,3,240133418,50025164,3304,313,157
O3,naive,5,290133828,60025232,3305,315,157
O3,naive,8,340134443,70025334,3313,318,157
O3,atomic,2,220133213,70025130,3301,312,157
O3,atomic,3,270133418,90025164,3305,313,157
O3,atomic,5,280133828,80025232,3305,315,157
O3,atomic,8,400134443,130025334,3307,318,157
