workset,depth,baseline_cycles,mega_cycles,speedup
L1,2,16.000000,10.000000,1.600000
L1,3,23.000000,14.000000,1.642857
L1,5,37.000000,22.000000,1.681818
L1,8,58.000000,34.000000,1.705882
L2,2,32.000000,26.000000,1.230769
L2,3,47.000000,38.000000,1.236842
L2,5,77.000000,62.000000,1.241935
L2,8,122.000000,98.000000,1.244898
L3,2,88.000000,82.000000,1.073171
L3,3,131.000000,122.000000,1.073770
L3,5,217.000000,202.000000,1.074257
L3,8,346.000000,322.000000,1.074534
DRAM,2,408.000000,402.000000,1.014925
DRAM,3,611.000000,602.000000,1.014950
DRAM,5,1017.000000,1002.000000,1.014970
DRAM,8,1626.000000,1602.000000,1.014981
